4398046519825,'India','China','2012-11-25',15
4398046519825,'India','China','2012-11-25',15
4398046519825,'India','China','2012-11-25',15
4398046519825,'India','China','2012-11-25',15
17592186054998,'Portugal','China','2012-10-15',400
17592186054998,'Portugal','China','2012-10-15',400
17592186054998,'Portugal','China','2012-10-15',400
17592186054998,'Portugal','China','2012-10-15',400
2199023264850,'Germany','China','2012-10-05',60
2199023264850,'Germany','China','2012-10-05',60
2199023264850,'Germany','China','2012-10-05',60
2199023264850,'Germany','China','2012-10-05',60
24189255814561,'Pakistan','Germany','2012-09-24',200
24189255814561,'Pakistan','Germany','2012-09-24',200
24189255814561,'Pakistan','Germany','2012-09-24',200
24189255814561,'Pakistan','Germany','2012-09-24',200
