4398046513221,'India','China','2012-11-01 00:00:00','15 days'
28587302323698,'Pakistan','Germany','2012-05-01 00:00:00','200 days'
4398046513221,'Spain','China','2012-11-01 00:00:00','15 days'
21990232559258,'Portugal','China','2011-12-01 00:00:00','400 days'
10995116278346,'Germany','China','2012-05-01 00:00:00','60 days'
4398046513221,'India','China','2010-10-01 00:00:00','900 days'
21990232559258,'Portugal','China','2011-12-01 00:00:00','400 days'
10995116278346,'Germany','China','2012-05-01 00:00:00','60 days'
28587302323698,'Pakistan','Germany','2012-05-01 00:00:00','200 days'
10995116278346,'Brazil','China','2010-05-01 00:00:00','900 days'
