6597069781730,'India','China','2012-11-16',15
6597069781730,'India','China','2012-11-16',15
6597069781730,'India','China','2012-11-16',15
6597069781730,'India','China','2012-11-16',15
15393162801753,'Portugal','China','2012-11-11',400
15393162801753,'Portugal','China','2012-11-11',400
15393162801753,'Portugal','China','2012-11-11',400
15393162801753,'Portugal','China','2012-11-11',400
28587302324496,'Mexico','China','2012-11-25',60
28587302324496,'Mexico','China','2012-11-25',60
28587302324496,'Mexico','China','2012-11-25',60
28587302324496,'Mexico','China','2012-11-25',60
26388279091399,'Pakistan','Mexico','2012-10-13',200
26388279091399,'Pakistan','Mexico','2012-10-13',200
26388279091399,'Pakistan','Mexico','2012-10-13',200
26388279091399,'Pakistan','Mexico','2012-10-13',200
