6597069781730,'India','China','2012-11-16 00:00:00','15 days'
6597069781730,'India','China','2012-11-16 00:00:00','15 days'
6597069781730,'India','China','2012-11-16 00:00:00','15 days'
6597069781730,'India','China','2012-11-16 00:00:00','15 days'
15393162801753,'Portugal','China','2012-11-11 00:00:00','400 days'
15393162801753,'Portugal','China','2012-11-11 00:00:00','400 days'
15393162801753,'Portugal','China','2012-11-11 00:00:00','400 days'
15393162801753,'Portugal','China','2012-11-11 00:00:00','400 days'
28587302324496,'Mexico','China','2012-11-25 00:00:00','60 days'
28587302324496,'Mexico','China','2012-11-25 00:00:00','60 days'
28587302324496,'Mexico','China','2012-11-25 00:00:00','60 days'
28587302324496,'Mexico','China','2012-11-25 00:00:00','60 days'
26388279091399,'Pakistan','Mexico','2012-10-13 00:00:00','200 days'
26388279091399,'Pakistan','Mexico','2012-10-13 00:00:00','200 days'
26388279091399,'Pakistan','Mexico','2012-10-13 00:00:00','200 days'
26388279091399,'Pakistan','Mexico','2012-10-13 00:00:00','200 days'
